"Date","Close","Open","High","Low","Volume"
"6/7/2022","22842","22911","23083","22464","27710000"
"6/8/2022","22636","22911","23014","22533","35520000"
"6/9/2022","23255","22636","23771","22533","38580000"
"6/10/2022","23118","23255","23565","23118","21710000"
"6/13/2022","21879","22705","23049","21810","30370000"
"6/14/2022","20847","21673","21707","20778","40670000"
"6/15/2022","20228","20709","21260","19849","41040000"
"6/16/2022","21329","20744","21569","20572","47740000"
"6/17/2022","21091","21318","21364","19955","33260000"
"6/20/2022","19636","20682","20909","19636","41000000"
"6/21/2022","18909","19409","19545","18636","43930000"
"6/22/2022","19545","18955","20000","18955","23590000"
"6/23/2022","19818","19545","19864","19545","7620000"
"6/24/2022","19818","19864","20455","19727","14110000"
"6/27/2022","20818","20000","20818","19409","22810000"
"6/28/2022","20455","20773","20773","20227","19620000"
"6/29/2022","20682","20273","21045","20091","22210000"
"6/30/2022","20273","20818","21273","20273","21950000"
"7/1/2022","20364","20273","20545","19591","16720000"
"7/4/2022","20000","20591","20591","20000","13690000"
"7/5/2022","19909","20091","20318","19773","16600000"
"7/6/2022","19500","19727","20227","19364","20060000"
"7/7/2022","19773","19500","19773","19455","11910000"
"7/8/2022","20409","20000","20500","20000","21460000"
"7/11/2022","20045","20364","20591","19955","13720000"
"7/12/2022","20273","20045","20455","19955","13360000"
"7/13/2022","20273","20182","20727","20136","19640000"
"7/14/2022","20182","20182","20364","20091","13770000"
"7/15/2022","21091","20318","21364","20318","52470000"
"7/18/2022","20545","21091","21182","20455","21920000"
"7/19/2022","20136","20455","20545","20091","17900000"
"7/20/2022","20318","20318","20682","20273","18580000"
"7/21/2022","20636","20318","20909","20273","25350000"
"7/22/2022","20182","20636","20727","20182","18310000"
"7/25/2022","19909","20182","20273","19818","22790000"
"7/26/2022","19682","19818","20000","19636","29020000"
"7/27/2022","19318","19500","19545","19136","31460000"
"7/28/2022","19455","19545","19727","19318","25860000"
"7/29/2022","19545","19636","19955","19545","22650000"
"8/1/2022","20727","19727","20773","19636","41960000"
"8/2/2022","20818","20818","21045","20636","30500000"
"8/3/2022","21591","20636","21682","20545","64730000"
"8/4/2022","21500","21727","21773","21364","33040000"
"8/5/2022","21182","21273","21500","21045","46770000"
"8/8/2022","21455","21273","21727","21182","33400000"
"8/9/2022","21909","21727","22091","21500","53040000"
"8/10/2022","21636","21818","22182","21636","33140000"
"8/11/2022","21273","21864","21955","21182","37790000"
"8/12/2022","21773","21182","21864","21136","37180000"
"8/15/2022","21818","21909","22000","21636","34660000"
"8/16/2022","22318","21818","22455","21818","72040000"
"8/17/2022","22091","22364","22409","21955","30190000"
"8/18/2022","21955","21909","22136","21864","25540000"
"8/19/2022","21591","21909","22045","21500","34600000"
"8/22/2022","21227","21500","21591","21045","26180000"
"8/23/2022","21500","21000","21500","21000","18360000"
"8/24/2022","21364","21500","21591","21364","13340000"
"8/25/2022","21682","21591","21864","21455","20090000"
"8/26/2022","21364","21818","21818","21364","18120000"
"8/29/2022","20909","20955","21136","20591","35710000"
"8/30/2022","20955","21000","21182","20864","16840000"
"8/31/2022","20909","20909","21045","20682","16480000"
"9/5/2022","21727","20955","21909","20955","28910000"
"9/6/2022","21409","21818","22000","21409","16870000"
"9/7/2022","20909","21409","21636","20909","27530000"
"9/8/2022","21000","21091","21318","20818","22400000"
"9/9/2022","21636","21227","21636","21000","28650000"
"9/12/2022","21636","21727","22091","21636","28790000"
"9/13/2022","21545","21591","21818","21364","16150000"
"9/14/2022","21545","21136","21636","21136","29730000"
"9/15/2022","21455","21727","21727","21318","15100000"
"9/16/2022","20909","21273","21455","20909","30260000"
"9/19/2022","20591","21000","21136","20409","30230000"
"9/20/2022","20909","20727","20909","20545","12660000"
"9/21/2022","20818","20818","20864","20636","10910000"
"9/22/2022","20909","20636","21000","20591","12750000"
"9/23/2022","20636","20955","21091","20636","16050000"
"9/26/2022","20364","20409","20545","19864","28460000"
"9/27/2022","20364","20409","20455","20091","9910000"
"9/28/2022","19818","20182","20409","19636","15470000"
"9/29/2022","19682","20136","20273","19682","11360000"
"9/30/2022","19273","19545","19682","18818","25710000"
"10/3/2022","17955","19273","19273","17955","36930000"
"10/4/2022","17136","18273","18409","16955","33560000"
"10/5/2022","17455","17455","17591","17136","27850000"
"10/6/2022","16364","17545","17545","16364","41210000"
"10/7/2022","16000","16045","16182","15500","40120000"
"10/10/2022","16682","15727","16909","15636","27570000"
"10/11/2022","15909","16727","16727","15773","29090000"
"10/12/2022","17000","16182","17000","15909","31900000"
"10/13/2022","17727","17091","17818","16864","26620000"
"10/14/2022","17682","17955","18091","17545","24850000"
"10/17/2022","17500","17500","17591","17182","18770000"
"10/18/2022","17136","17727","17909","17000","26830000"
"10/19/2022","16727","17136","17136","16682","22260000"
"10/20/2022","16455","16682","16909","16409","28640000"
"10/21/2022","15364","16636","16636","15364","49670000"
"10/24/2022","14909","15455","15500","14727","30770000"
"10/25/2022","15545","14909","15909","14591","34220000"
"10/26/2022","15364","15455","15818","15318","12370000"
"10/27/2022","15818","15409","16000","15364","23500000"
"10/28/2022","15273","15818","16045","15273","34320000"
"10/31/2022","14227","14227","14545","14227","72930000"
"11/1/2022","13636","14318","14545","13455","89710000"
"11/2/2022","13955","13636","14273","13636","44130000"
"11/3/2022","13818","13864","14045","13727","22690000"
"11/4/2022","13318","13636","13773","13182","48280000"
"11/7/2022","12455","13227","13455","12455","42090000"
"11/8/2022","11955","11909","12455","11818","50900000"
"11/9/2022","11818","12000","12364","11773","36060000"
"11/10/2022","11000","11545","11636","11000","87720000"
"11/11/2022","11182","11182","11500","10909","66790000"
"11/14/2022","11091","11045","11318","10773","66300000"
"11/15/2022","11364","10909","11409","10909","44460000"
"11/16/2022","12136","11182","12136","10727","38390000"
